	GUIDS		|	Iterations
========================|========================
	HOL:2ABS0104	|	33
	HOL:2ABS0105	|	2
	HOL:2ABS0106	|	28
	HOL:2ABS0107	|	33
	HOL:2ABS0108	|	15
	HOL:2ABS0115	|	30
	HOL:2ABS0116	|	30
	HOL:2ABS0117	|	22
	HOL:2ABS0118	|	22
	HOL:2ABS0119	|	20
	HOL:2ABS0120	|	20
	HOL:2ABS0121	|	32
	HOL:2ABS0122	|	32
	HOL:2ABS0123	|	2
	HOL:2ABS0124	|	26
	HOL:2ABS0125	|	18
	HOL:2ABS0126	|	24
	HOL:2ABS0128	|	79
	HOL:2ABS0129	|	35
	HOL:2ABS0130	|	56
	HOL:2ABS0131	|	56
	HOL:2ABS0132	|	30
	HOL:2ABS0133	|	30
	HOL:2ABS0134	|	79
	HOL:2ABS0135	|	77
	HOL:2ABS0138	|	5
	HOL:2ABS0139	|	127
	HOL:2ABS0140	|	119
	HOL:2ABS0141	|	5
	HOL:2ABS0142	|	17
	HOL:2ABS0143	|	72
	HOL:2ABS0144	|	72
	HOL:2ABS0145	|	23
	HOL:2ABS0146	|	23
	HOL:2ABS0147	|	24
	HOL:2ABS0148	|	15
	HOL:2ABS0149	|	46
	HOL:2ABS0150	|	43
	HOL:2ABS0151	|	45
	HOL:2ABS0152	|	45
	HOL:2ABS0153	|	7
	HOL:2ABS0154	|	43
	HOL:2ABS0155	|	51
	HOL:2ABS0156	|	1550
	HOL:2ABS0157	|	82
	HOL:2ABS0158	|	286
	HOL:2ABS0159	|	32
	HOL:2ABS0160	|	19
	HOL:2ABS0161	|	21
	HOL:2ABS0162	|	32
	HOL:2ABS0163	|	5
	HOL:2ABS0164	|	7
	HOL:2ABS0165	|	49
	HOL:2ABS0166	|	31
	HOL:2ABS0167	|	86
	HOL:2ABS0168	|	45
	HOL:2ABS0169	|	135
	HOL:2ABS0170	|	45
	HOL:2ABS0171	|	847
	HOL:2ABS0172	|	22
	HOL:2ABS0173	|	65
	HOL:2ABS0174	|	41
	HOL:2ABS0175	|	22
	HOL:2ABS0176	|	127
	HOL:2ABS0177	|	148
	HOL:2ABS0178	|	74
	HOL:2ABS0179	|	30
	HOL:2ABS0180	|	11
	HOL:2ABS0181	|	999
	HOL:2ABS0182	|	11
	HOL:2ABS0183	|	59
	HOL:2ABS0184	|	15
	HOL:2ABS0185	|	328
	HOL:2ABS0186	|	21
	HOL:2ABS0187	|	17
	HOL:2ABS0188	|	19
	HOL:2ABS0189	|	17
	HOL:2ABS0190	|	57
	HOL:2ABS0191	|	44
	HOL:2ABS0192	|	88
	HOL:2ABS0193	|	33
	HOL:2ABS0194	|	21
	HOL:2ABS0195	|	88
	HOL:2ABS0197	|	19
	HOL:2ABS0198	|	42
	HOL:2ABS0199	|	57
	HOL:2ABS0200	|	33
	HOL:2ABS0201	|	88
	HOL:2ABS0202	|	34
	HOL:2ABS0203	|	33
	HOL:2ABS0204	|	34
	HOL:2ABS0205	|	138
	HOL:2ABS0206	|	176
	HOL:2ABS0207	|	125
	HOL:2ABS0208	|	33
	HOL:2ABS0209	|	32
	HOL:2ABS0210	|	34
	HOL:2ABS0211	|	42
	HOL:2ABS0212	|	176
	HOL:2ABS0213	|	41
	HOL:2ABS0214	|	125
	HOL:2ABS0215	|	41
	HOL:2ABS0216	|	42
	HOL:2ABS0217	|	21
	HOL:2ABS0218	|	42
	HOL:2ABS0219	|	39
	HOL:2ABS0220	|	35
	HOL:2ABS0221	|	4
	HOL:2ABS0222	|	84
	HOL:2ABS0223	|	36
	HOL:2ABS0224	|	39
	HOL:2ABS0225	|	24
	HOL:2ABS0226	|	11
	HOL:2ABS0227	|	21
	HOL:2ABS0228	|	30
	HOL:2ABS0229	|	4
	HOL:2ABS0230	|	46
	HOL:2ABS0231	|	36
	HOL:2ABS0232	|	9
	HOL:2ABS0233	|	42
	HOL:2ABS0234	|	23
	HOL:2ABS0235	|	11
	HOL:2ABS0236	|	5
	HOL:2ABS0237	|	26
	HOL:2ABS0238	|	18
	HOL:2ABS0239	|	46
	HOL:2ABS0240	|	25
	HOL:2ABS0241	|	9
	HOL:2ABS0242	|	20
	HOL:2ABS0243	|	23
	HOL:2ABS0244	|	11
	HOL:2ABS0245	|	5
	HOL:2ABS0246	|	27
	HOL:2ABS0247	|	24
	HOL:2ABS0248	|	25
	HOL:2ABS0249	|	9
	HOL:2ABS0250	|	65
	HOL:2ABS0251	|	34
	HOL:2ABS0252	|	51
	HOL:2ABS0253	|	32
	HOL:2ABS0254	|	12
	HOL:2ABS0255	|	4
	HOL:2ABS0256	|	148
	HOL:2ABS0257	|	32
	HOL:2ABS0258	|	25
	HOL:2ABS0259	|	25
	HOL:2ABS0260	|	24
	HOL:2ABS0261	|	68
	HOL:2ABS0263	|	21
	HOL:2ABS0264	|	4
	HOL:2ABS0265	|	367
	HOL:2ABS0266	|	46
	HOL:2ABS0267	|	46
	HOL:2ABS0268	|	75
	HOL:2ABS0269	|	75
	HOL:2ABS0270	|	43
	HOL:2ABS0271	|	45
	HOL:2ABS0272	|	31
	HOL:2ABS0273	|	21
	HOL:2ABS0274	|	27
	HOL:2ABS0275	|	141
	HOL:2ABS0276	|	2519
	HOL:2ABS0277	|	5
	HOL:2ABS0278	|	5
	HOL:2ABS0279	|	628
	HOL:2ABS0280	|	628
	HOL:2ABS0281	|	173
	HOL:2ABS0282	|	173
	HOL:2ABS0283	|	22
	HOL:2ABS0284	|	833
	HOL:2ABS0285	|	833
	HOL:2ABS0286	|	4157
	HOL:2ABS0287	|	286
	HOL:2ABS0288	|	30
	HOL:2ABS0289	|	67
	HOL:2ABS0292	|	27
	HOL:2ABS0293	|	491
	HOL:2ABS0294	|	17
	HOL:2ABS0295	|	36
	HOL:2ABS0296	|	22
	HOL:2ABS0297	|	27
	HOL:2ABS0298	|	491
	HOL:2ABS0299	|	17
	HOL:2ABS0300	|	36
	HOL:2ABS0301	|	54
	HOL:2ABS0302	|	22
	HOL:2ABS0303	|	150
	HOL:2ABS0304	|	16
	HOL:2ABS0305	|	14
	HOL:2ABS0306	|	6
	HOL:2ABS0307	|	125
	HOL:2ABS0308	|	107
	HOL:2ABS0309	|	251
	HOL:2ABS0310	|	74
	HOL:2ABS0311	|	6
	HOL:2ABS0312	|	125
	HOL:2ABS0313	|	107
	HOL:2ABS0314	|	251
	HOL:2ABS0315	|	71
	HOL:2ABS0316	|	24
	HOL:2ABS0317	|	22
	HOL:2ABS0318	|	35
	HOL:2ABS0319	|	20
	HOL:2ABS0320	|	20
	HOL:2ABS0321	|	18
	HOL:2ABS0322	|	10
	HOL:2ABS0324	|	24
	HOL:2ABS0325	|	24
	HOL:2ABS0326	|	6
	HOL:2ABS0327	|	192
	HOL:2ABS0328	|	162
	HOL:2ABS0329	|	162
	HOL:2ABS0330	|	39
	HOL:2ABS0331	|	24
	HOL:2ABS0332	|	32
	HOL:2ABS0333	|	24
	HOL:2ABS0334	|	30
	HOL:2ABS0335	|	25
	HOL:2ABS0336	|	8
	HOL:2ABS0337	|	114
	HOL:2ABS0339	|	403
	HOL:2ABS0340	|	156
	HOL:2ABS0341	|	1262
	HOL:2ABS0342	|	21
	HOL:2ABS0343	|	274
	HOL:2ABS0344	|	212
	HOL:2ABS0345	|	158
	HOL:2ABS0346	|	212
	HOL:2ABS0347	|	178
	HOL:2ABS0348	|	44
	HOL:2ABS0349	|	86
	HOL:2ABS0350	|	86
	HOL:2ABS0351	|	86
	HOL:2ABS0352	|	38
	HOL:2ABS0353	|	43
	HOL:2ABS0354	|	72
	HOL:2ABS0357	|	72
	HOL:2ABS0358	|	7
	HOL:2ABS0361	|	7
	HOL:2ABS0362	|	42
	HOL:2ABS0364	|	46
	HOL:2ABS0365	|	354
	HOL:2ABS0366	|	3
	HOL:2ABS0367	|	171
	HOL:2ABS0368	|	46
	HOL:2ABS0369	|	41
	HOL:2ABS0370	|	43
	HOL:2ABS0371	|	17
	HOL:2ABS0372	|	36
	HOL:2ABS0373	|	45
	HOL:2ABS0374	|	41
	HOL:2ABS0375	|	31
	HOL:2ABS0376	|	17
	HOL:2ABS0377	|	45
	HOL:2ABS0378	|	30
	HOL:2ABS0379	|	30
	HOL:2ABS0380	|	74
	HOL:2ABS0382	|	29
	HOL:2ABS0383	|	44
	HOL:2ABS0384	|	36
	HOL:2ABS0385	|	37
	HOL:2ABS0386	|	38
	HOL:2ABS0387	|	33
	HOL:2ABS0388	|	36
	HOL:2ABS0389	|	30
	HOL:2ABS0390	|	30
	HOL:2ABS0391	|	17
	HOL:2ABS0392	|	15
	HOL:2ABS0393	|	37
	HOL:2ABS0394	|	44
	HOL:2ABS0395	|	96
	HOL:2ABS0396	|	30
	HOL:2ABS0397	|	30
	HOL:2ABS0398	|	26
	HOL:2ABS0399	|	21
	HOL:2ABS0400	|	16
	HOL:2ABS0402	|	16
	HOL:2ABS0403	|	71
	HOL:2ABS0404	|	36
	HOL:2ABS0405	|	21
	HOL:2ABS0406	|	36
	HOL:2ABS0407	|	21
	HOL:2ABS0408	|	45
	HOL:2ABS0409	|	506
	HOL:2ABS0411	|	16
	HOL:2ABS0412	|	9
	HOL:2ABS0413	|	56
	HOL:2ABS0414	|	21
	HOL:2ABS0415	|	21
	HOL:2ABS0416	|	89
	HOL:2ABS0417	|	17
	HOL:2ABS0418	|	112
	HOL:2ABS0419	|	40
	HOL:2ABS0420	|	25
	HOL:2ABS0421	|	25
	HOL:2ABS0422	|	65
	HOL:2ABS0423	|	232
	HOL:2ABS0424	|	232
	HOL:2ABS0425	|	8
	HOL:2ABS0426	|	252
	HOL:2ABS0427	|	252
	HOL:2ABS0428	|	120
	HOL:2ABS0429	|	63
	HOL:2ABS0430	|	63
	HOL:2ABS0431	|	63
	HOL:2ABS0432	|	207
	HOL:2ABS0433	|	63
	HOL:2ABS0434	|	79
	HOL:2ABS0435	|	13
	HOL:2ABS0436	|	65
	HOL:2ABS0437	|	18
	HOL:2ABS0438	|	16
	HOL:2ABS0439	|	31
	HOL:2ABS0440	|	16
	HOL:2ABS0441	|	22
	HOL:2ABS0442	|	22
	HOL:2ABS0443	|	112
	HOL:2ABS0444	|	32
	HOL:2ABS0445	|	374
	HOL:2ABS0446	|	13
	HOL:2ABS0447	|	386
	HOL:2ABS0448	|	98
	HOL:2ABS0449	|	46
	HOL:2ABS0450	|	79
	HOL:2ABS0451	|	46
	HOL:2ABS0452	|	39
	HOL:2ABS0453	|	477
	HOL:2ABS0454	|	415
	HOL:2ABS0455	|	483
	HOL:2ABS0456	|	100
	HOL:2ABS0457	|	1552
	HOL:2ABS0458	|	72
	HOL:2ABS0459	|	101
	HOL:2ABS0460	|	168
	HOL:2ABS0461	|	304
	HOL:2ABS0462	|	100
	HOL:2ABS0463	|	100
	HOL:2ABS0464	|	132
	HOL:2ABS0465	|	43
	HOL:2ABS0466	|	149
	HOL:2ABS0467	|	149
	HOL:2ABS0468	|	207
	HOL:2ABS0469	|	109
	HOL:2ABS0470	|	22
	HOL:2ABS0471	|	135
	HOL:2ABS0472	|	135
	HOL:2ABS0473	|	18
	HOL:2ABS0474	|	95
	HOL:2ABS0475	|	18
	HOL:2ABS0476	|	95
	HOL:2ABS0477	|	9
	HOL:2ABS0478	|	14
	HOL:2ABS0479	|	5
	HOL:2ABS0480	|	55
	HOL:2ABS0481	|	394
	HOL:2ABS0482	|	46
	HOL:2ABS0483	|	46
	HOL:2ABS0484	|	129
	HOL:2ABS0485	|	546
	HOL:2ABS0486	|	1926
	HOL:2ABS0488	|	81
	HOL:2ABS0489	|	227
	HOL:2ABS0490	|	227
	HOL:2ABS0491	|	160
	HOL:2ABS0492	|	7
	HOL:2ABS0493	|	12
	HOL:2ABS0494	|	19
	HOL:2ABS0495	|	34
	HOL:2ABS0496	|	42
	HOL:2ABS0497	|	5
	HOL:2ABS0498	|	3
	HOL:2ABS0499	|	59
	HOL:2ABS0500	|	42
	HOL:2ABS0501	|	27
	HOL:2ABS0502	|	3
	HOL:2ABS0503	|	60
	HOL:2ABS0504	|	14
	HOL:2ABS0505	|	6
	HOL:2ABS0506	|	539
	HOL:2ABS0507	|	11
	HOL:2ABS0508	|	22
	HOL:2ABS0509	|	22
	HOL:2ABS0510	|	69
	HOL:2ABS0511	|	45
	HOL:2ABS0515	|	71
	HOL:2ABS0517	|	69
	HOL:2ABS0519	|	71
	HOL:2ABS0520	|	6
	HOL:2ABS0521	|	57
	HOL:2ABS0522	|	55
	HOL:2ABS0524	|	4
	HOL:2ABS0525	|	18
	HOL:2ABS0526	|	25
	HOL:2ABS0527	|	67
	HOL:2ABS0528	|	13
	HOL:2ABS0529	|	32
	HOL:2ABS0530	|	81
	HOL:2ABS0531	|	49
	HOL:2ABS0532	|	224
	HOL:2ABS0533	|	22
	HOL:2ABS0534	|	7
	HOL:2ABS0536	|	32
	HOL:2ABS0537	|	836
	HOL:2ABS0538	|	41
	HOL:2ABS0540	|	42
	HOL:2ABS0541	|	50
	HOL:2ABS0542	|	6
	HOL:2ABS0544	|	836
	HOL:2ABS0545	|	73
	HOL:2ABS0546	|	50
	HOL:2ABS0550	|	16
	HOL:2ABS0552	|	5
	HOL:2ABS0553	|	22
	HOL:2ABS0555	|	2
	HOL:2ABS0556	|	66
	HOL:2ABS0557	|	73
	HOL:2ABS0558	|	13
	HOL:2ABS0559	|	11
	HOL:2ABS0560	|	32
	HOL:2ABS0561	|	14
	HOL:2ABS0562	|	6
	HOL:2ABS0563	|	43
	HOL:2ABS0564	|	56
	HOL:2ABS0566	|	45
	HOL:2ABS0567	|	37
	HOL:2ABS0569	|	16
	HOL:2ABS0570	|	25
	HOL:2ABS0571	|	25
	HOL:2ABS0572	|	4
	HOL:2ABS0573	|	43
	HOL:2ABS0576	|	6
	HOL:2ABS0577	|	19
	HOL:2ABS0578	|	24
	HOL:2ABS0579	|	44
	HOL:2ABS0580	|	74
	HOL:2ABS0581	|	12
	HOL:2ABS0584	|	12
	HOL:2ABS0585	|	41
	HOL:2ABS0586	|	5
	HOL:2ABS0587	|	6
	HOL:2ABS0588	|	41
	HOL:2ABS0589	|	3
	HOL:2ABS0590	|	5
	HOL:2ABS0592	|	73
	HOL:2ABS0593	|	6
	HOL:2ABS0594	|	41
	HOL:2ABS0596	|	42
	HOL:2ABS0597	|	135
	HOL:2ABS0598	|	104
	HOL:2ABS0601	|	34
	HOL:2ABS0602	|	50
	HOL:2ABS0604	|	37
	HOL:2ABS0605	|	34
	HOL:2ABS0606	|	50
	HOL:2ABS0607	|	45
	HOL:2ABS0609	|	32
	HOL:2ABS0610	|	3
	HOL:2ABS0611	|	5
	HOL:2ABS0612	|	49
	HOL:2ABS0613	|	172
	HOL:2ABS0614	|	89
	HOL:2ABS0615	|	9
	HOL:2ABS0616	|	8
	HOL:2ABS0617	|	49
	HOL:2ABS0618	|	172
	HOL:2ABS0619	|	8
	HOL:2ABS0620	|	45
	HOL:2ABS0622	|	39
	HOL:2ABS0623	|	4
	HOL:2ABS0624	|	56
	HOL:2ABS0625	|	58
	HOL:2ABS0626	|	815
	HOL:2ABS0627	|	815
	HOL:2ABS0628	|	23
	HOL:2ABS0630	|	88
	HOL:2ABS0632	|	3
	HOL:2ABS0633	|	15
	HOL:2ABS0634	|	48
	HOL:2ABS0635	|	70
	HOL:2ABS0636	|	42
	HOL:2ABS0637	|	19
	HOL:2ABS0638	|	38
	HOL:2ABS0639	|	34
	HOL:2ABS0640	|	19
	HOL:2ABS0641	|	159
	HOL:2ABS0642	|	159
	HOL:2ABS0643	|	27
	HOL:2ABS0644	|	25
	HOL:2ABS0645	|	6
	HOL:2ABS0646	|	59
	HOL:2ABS0647	|	59
	HOL:2ABS0648	|	37
	HOL:2ABS0649	|	41
	HOL:2ABS0650	|	41
	HOL:2ABS0651	|	18
	HOL:2ABS0652	|	18
	HOL:2ABS0653	|	57
	HOL:2ABS0654	|	5
	HOL:2ABS0655	|	5
	HOL:2ABS0656	|	9
	HOL:2ABS0657	|	22
	HOL:2ABS0658	|	95
	HOL:2ABS0659	|	26
	HOL:2ABS0660	|	7
	HOL:2ABS0661	|	7
	HOL:2ABS0662	|	4
	HOL:2ABS0663	|	7
	HOL:2ABS0664	|	7
	HOL:2ABS0665	|	13
	HOL:2ABS0666	|	55
	HOL:2ABS0667	|	12
	HOL:2ABS0668	|	8
	HOL:2ABS0670	|	28
	HOL:2ABS0671	|	28
	HOL:2ABS0672	|	16
	HOL:2ABS0673	|	89
	HOL:2ABS0675	|	26
	HOL:2ABS0676	|	20
	HOL:2ABS0677	|	20
	HOL:2ABS0678	|	29
	HOL:2ABS0679	|	38
	HOL:2ABS0680	|	488
	HOL:2ABS0681	|	343
	HOL:2ABS0682	|	67
	HOL:2ABS0683	|	152
	HOL:2ABS0685	|	6
	HOL:2ABS0686	|	25
	HOL:2ABS0687	|	25
	HOL:2ABS0688	|	25
	HOL:2ABS0689	|	25
	HOL:2ABS0690	|	53
	HOL:2ABS0691	|	55
	HOL:2ABS0692	|	48
	HOL:2ABS0693	|	19
	HOL:2ABS0694	|	19
	HOL:2ABS0695	|	19
	HOL:2ABS0696	|	19
	HOL:2ABS0697	|	30
	HOL:2ABS0698	|	34
	HOL:2ABS0699	|	3
	HOL:2ABS0700	|	3
	HOL:2ABS0701	|	11
	HOL:2ABS0702	|	42
	HOL:2ABS0703	|	41
	HOL:2ABS0704	|	41
	HOL:2ABS0705	|	9
	HOL:2ABS0706	|	9
	HOL:2ABS0707	|	9
	HOL:2ABS0708	|	9
	HOL:2ABS0709	|	323
	HOL:2ABS0710	|	323
	HOL:2ABS0711	|	173
	HOL:2ABS0712	|	173
	HOL:2ABS0713	|	5
	HOL:2ABS0714	|	11
	HOL:2ABS0715	|	11
	HOL:2ABS0716	|	11
	HOL:2ABS0717	|	11
	HOL:2ABS0718	|	17
	HOL:2ABS0719	|	74
	HOL:2ABS0720	|	74
	HOL:2ABS0721	|	22
	HOL:2ABS0722	|	21
	HOL:2ABS0723	|	10
	HOL:2ABS0724	|	42
	HOL:2ABS0725	|	42
	HOL:2ABS0726	|	33
	HOL:2ABS0727	|	33
	HOL:2ABS0728	|	33
	HOL:2ABS0729	|	53
	HOL:2ABS0730	|	53
	HOL:2ABS0731	|	22
	HOL:2ABS0732	|	26
	HOL:2ABS0733	|	26
	HOL:2ABS0734	|	93
	HOL:2ABS0735	|	120
	HOL:2ABS0736	|	120
	HOL:2ABS0737	|	120
	HOL:2ABS0738	|	120
	HOL:2ABS0739	|	63
	HOL:2ABS0740	|	63
	HOL:2ABS0741	|	48
	HOL:2ABS0742	|	48
	HOL:2ABS0743	|	54
	HOL:2ABS0744	|	4
	HOL:2ABS0745	|	10
	HOL:2ABS0746	|	16
	HOL:2ABS0747	|	53
	HOL:2ABS0748	|	53
	HOL:2ABS0749	|	7
	HOL:2ABS0750	|	22
	HOL:2ABS0751	|	5
	HOL:2ABS0752	|	16
	HOL:2ABS0753	|	17
	HOL:2ABS0755	|	34
	HOL:2ABS0756	|	56
	HOL:2ABS0757	|	56
	HOL:2ABS0758	|	12
	HOL:2ABS0759	|	8
	HOL:2ABS0760	|	3
	HOL:2ABS0761	|	12
	HOL:2ABS0762	|	8
	HOL:2ABS0763	|	3
	HOL:2ABS0764	|	9
	HOL:2ABS0765	|	9
	HOL:2ABS0767	|	22
	HOL:2ABS0768	|	28
	HOL:2ABS0769	|	4
	HOL:2ABS0770	|	28
	HOL:2ABS0771	|	16
	HOL:2ABS0776	|	7
	HOL:2ABS0777	|	7
	HOL:2ABS0778	|	7
	HOL:2ABS0779	|	7
	HOL:2ABS0781	|	47
	HOL:2ABS0782	|	42
	HOL:2ABS0783	|	10
	HOL:2ABS0784	|	9
	HOL:2ABS0785	|	47
	HOL:2ABS0786	|	42
	HOL:2ABS0787	|	10
	HOL:2ABS0788	|	15
	HOL:2ABS0789	|	3
	HOL:2ABS0790	|	10
	HOL:2ABS0791	|	14
	HOL:2ABS0792	|	10
	HOL:2ABS0793	|	11
	HOL:2ABS0794	|	14
	HOL:2ABS0795	|	6
	HOL:2ABS0796	|	6
	HOL:2ABS0797	|	6
	HOL:2ABS0798	|	24
	HOL:2ABS0799	|	623
	HOL:2ABS0800	|	1455
	HOL:2ABS0801	|	56
	HOL:2ABS0803	|	91
	HOL:2ABS0804	|	95
	HOL:2ABS0805	|	55
	HOL:2ABS0806	|	55
	HOL:2ABS0807	|	55
	HOL:2ABS0808	|	65
	HOL:2ABS0809	|	329
	HOL:2ABS0810	|	329
	HOL:2ABS0811	|	132
	HOL:2ABS0812	|	341
	HOL:2ABS0813	|	203
	HOL:2ABS0814	|	41
	HOL:2ABS0816	|	13
	HOL:2ABS0840	|	168
	HOL:2ABS0841	|	37
	HOL:2ABS0843	|	44
	HOL:2ABS0844	|	22
	HOL:2ABS0845	|	18
	HOL:2ABS0847	|	94
	HOL:2ABS0848	|	53
	HOL:2ABS0849	|	53
	HOL:2ABS0850	|	53
	HOL:2ABS0851	|	53
	HOL:2ABS0852	|	54
	HOL:2ABS0853	|	45
	HOL:2ABS0854	|	11
	HOL:2ABS0855	|	47
	HOL:2ABS0856	|	27
	HOL:2ABS0857	|	84
	HOL:2ABS0858	|	84
	HOL:2ABS0859	|	84
	HOL:2ABS0860	|	13
	HOL:2ABS0861	|	13
	HOL:2ABS0862	|	63
	HOL:2ABS0863	|	63
	HOL:2ABS0864	|	26
	HOL:2ABS0865	|	42
	HOL:2ABS0866	|	56
	HOL:2ABS0867	|	60
	HOL:2ABS0868	|	55
	HOL:2ABS0869	|	30
	HOL:2ABS0871	|	34
	HOL:2ABS0872	|	20
	HOL:2ABS0873	|	24
	HOL:2ABS0874	|	236
	HOL:2ABS0875	|	53
	HOL:2ABS0876	|	8
	HOL:2ABS0877	|	28
	HOL:2ABS0880	|	215
	HOL:2ABS0881	|	20
	HOL:2ABS0882	|	87
	HOL:2ABS0883	|	98
	HOL:2ABS0884	|	31
	HOL:2ABS0885	|	32
	HOL:2ABS0886	|	32
	HOL:2ABS0887	|	88
	HOL:2ABS0888	|	117
	HOL:2ABS0889	|	45
	HOL:2ABS0890	|	34
	HOL:2ABS0891	|	45
	HOL:2ABS0892	|	51
	HOL:2ABS0893	|	18
	HOL:2ABS0894	|	72
	HOL:2ABS0895	|	199
	HOL:2ABS0896	|	32
	HOL:2ABS0897	|	117
	HOL:2ABS0902	|	71
	HOL:2ABS0903	|	62
	HOL:2ABS0905	|	22
	HOL:2ABS0906	|	35
	HOL:2ABS0907	|	9
	HOL:2ABS0908	|	35
	HOL:2ABS0909	|	40
	HOL:2ABS0910	|	72
	HOL:2ABS0911	|	54
	HOL:2ABS0913	|	100
	HOL:2ABS0914	|	22
	HOL:2ABS0915	|	32
	HOL:2ABS0916	|	68
	HOL:2ABS0917	|	55
	HOL:2ABS0918	|	186
	HOL:2ABS0919	|	58
	HOL:2ABS0920	|	67
	HOL:2ABS0921	|	52
	HOL:2ABS0922	|	52
	HOL:2ABS0923	|	32
	HOL:2ABS0924	|	32
	HOL:2ABS0925	|	16
	HOL:2ABS0926	|	16
	HOL:2ABS0930	|	52
	HOL:2ABS0937	|	2
	HOL:2ABS0938	|	59
	HOL:2ABS0939	|	30
	HOL:2ABS0940	|	30
	HOL:2ABS0941	|	42
	HOL:2ABS0943	|	319
	HOL:2ABS0944	|	560
	HOL:2ABS0945	|	28
	HOL:2ABS0947	|	117
	HOL:2ABS0948	|	29
	HOL:2ABS0949	|	12
	HOL:2ABS0950	|	28
	HOL:2ABS0951	|	22
	HOL:2ABS0953	|	53
	HOL:2ABS0955	|	118
	HOL:2ABS0956	|	118
	HOL:2ABS0957	|	1885
	HOL:2ABS0963	|	418
	HOL:2ABS0976	|	8
	HOL:2ABS0995	|	287
	HOL:2ABS0997	|	123
	HOL:2ABS0998	|	158
	HOL:2ABS1002	|	54
	HOL:2ABS1003	|	167
	HOL:2ABS1004	|	54
	HOL:2ABS1005	|	167
	HOL:2ABS1012	|	102
	HOL:2ABS1016	|	12
	HOL:2ABS1017	|	15
	HOL:2ABS1018	|	19
	HOL:2ABS1020	|	87
	HOL:2ABS1027	|	44
	HOL:2ABS1032	|	54
	HOL:2ABS1034	|	65
	HOL:2ABS1036	|	29
	HOL:2ABS1037	|	90
	HOL:2ABS1038	|	88
	HOL:2ABS1039	|	59
	HOL:2ABS1040	|	88
	HOL:2ABS1041	|	98
	HOL:2ABS1042	|	98
	HOL:2ABS1047	|	9
	HOL:2ABS1052	|	34
	HOL:2ABS1053	|	9
	HOL:2ABS1057	|	41
	HOL:2ABS1059	|	8
	HOL:2ABS1062	|	41
	HOL:2ABS1064	|	8
	HOL:2ABS1067	|	5
	HOL:2ABS1068	|	5
	HOL:2ABS1069	|	26
	HOL:2ABS1070	|	67
	HOL:2ABS1071	|	67
	HOL:2ABS1072	|	56
	HOL:2ABS1078	|	20
	HOL:2ABS1081	|	16
	HOL:2ABS1082	|	10
	HOL:2ABS1084	|	15
	HOL:2ABS1085	|	15
	HOL:2ABS1086	|	115
